Date updated,County code,County,Total cases ,Confirmed cases,Probable cases,Total case rate,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths
06/02/2020,1,Fairfield,15789,15087,702,1673,134,1289,998,291
06/02/2020,2,Hartford,10593,9914,679,1187,92,1259,958,301
06/02/2020,3,Litchfield,1404,1338,66,775,5,133,113,20
06/02/2020,4,Middlesex,1161,1104,57,714,16,152,118,34
06/02/2020,5,New Haven,11548,11161,387,1347,150,990,843,147
06/02/2020,6,New London,1100,1039,61,412,8,92,67,25
06/02/2020,7,Tolland,856,783,73,567,0,60,46,14
06/02/2020,8,Windham,392,384,8,335,1,14,13,1
06/03/2020,1,Fairfield,15843,15133,710,1679,126,1293,1002,291
06/03/2020,2,Hartford,10636,9947,689,1191,90,1266,964,302
06/03/2020,3,Litchfield,1406,1339,67,776,3,134,113,21
06/03/2020,4,Middlesex,1171,1113,58,720,15,154,119,35
06/03/2020,5,New Haven,11582,11191,391,1350,128,992,845,147
06/03/2020,6,New London,1104,1042,62,414,8,94,69,25
06/03/2020,7,Tolland,859,784,75,569,0,60,46,14
06/03/2020,8,Windham,397,389,8,339,3,14,13,1
06/04/2020,1,Fairfield,15914,15204,710,1686,111,1304,1011,293
06/04/2020,2,Hartford,10677,9982,695,1196,83,1277,968,309
06/04/2020,3,Litchfield,1409,1343,66,778,2,134,113,21
06/04/2020,4,Middlesex,1170,1112,58,719,14,155,120,35
06/04/2020,5,New Haven,11673,11282,391,1361,127,999,855,144
06/04/2020,6,New London,1108,1045,63,415,8,95,70,25
06/04/2020,7,Tolland,859,784,75,569,0,60,46,14
06/04/2020,8,Windham,405,398,7,346,5,14,13,1
06/05/2020,1,Fairfield,16020,15307,713,1697,108,1309,1017,292
06/05/2020,2,Hartford,10747,10046,701,1204,78,1279,971,308
06/05/2020,3,Litchfield,1413,1347,66,780,1,134,113,21
06/05/2020,4,Middlesex,1174,1119,55,722,14,157,123,34
06/05/2020,5,New Haven,11817,11429,388,1378,121,1007,865,142
06/05/2020,6,New London,1112,1049,63,417,7,95,70,25
06/05/2020,7,Tolland,864,789,75,572,0,60,46,14
06/05/2020,8,Windham,416,409,7,355,4,14,13,1
06/06/2020,1,Fairfield,16056,15342,714,1701,111,1312,1019,293
06/06/2020,2,Hartford,10809,10112,697,1211,87,1287,977,310
06/06/2020,3,Litchfield,1419,1353,66,783,1,134,113,21
06/06/2020,4,Middlesex,1185,1128,57,728,15,159,124,35
06/06/2020,5,New Haven,11828,11441,387,1379,110,1010,867,143
06/06/2020,6,New London,1119,1056,63,419,6,95,70,25
06/06/2020,7,Tolland,864,789,75,572,0,60,46,14
06/06/2020,8,Windham,420,412,8,359,3,14,13,1
06/07/2020,1,Fairfield,16092,15379,713,1705,114,1316,1023,293
06/07/2020,2,Hartford,10844,10145,699,1215,77,1291,978,313
06/07/2020,3,Litchfield,1426,1360,66,787,2,134,113,21
06/07/2020,4,Middlesex,1187,1130,57,730,14,160,125,35
06/07/2020,5,New Haven,11860,11472,388,1383,108,1013,870,143
06/07/2020,6,New London,1120,1057,63,420,7,96,71,25
06/07/2020,7,Tolland,863,787,76,572,0,60,46,14
06/07/2020,8,Windham,428,421,7,366,2,14,13,1
06/08/2020,1,Fairfield,16108,15405,703,1707,111,1319,1027,292
06/08/2020,2,Hartford,10859,10206,653,1216,68,1291,991,300
06/08/2020,3,Litchfield,1432,1369,63,791,3,136,115,21
06/08/2020,4,Middlesex,1194,1139,55,734,12,163,128,35
06/08/2020,5,New Haven,11875,11495,380,1385,88,1016,872,144
06/08/2020,6,New London,1122,1059,63,421,8,96,71,25
06/08/2020,7,Tolland,873,806,67,578,1,61,48,13
06/08/2020,8,Windham,430,423,7,367,2,15,14,1
06/09/2020,1,Fairfield,16134,15519,615,1709,92,1321,1029,292
06/09/2020,2,Hartford,10924,10274,650,1224,69,1303,1001,302
06/09/2020,3,Litchfield,1430,1368,62,790,3,134,113,21
06/09/2020,4,Middlesex,1199,1144,55,737,12,164,128,36
06/09/2020,5,New Haven,11911,11539,372,1389,84,1024,879,145
06/09/2020,6,New London,1130,1068,62,424,8,97,72,25
06/09/2020,7,Tolland,878,810,68,582,0,61,47,14
06/09/2020,8,Windham,437,429,8,373,2,14,13,1
06/10/2020,1,Fairfield,16155,15537,618,1712,89,1333,1039,294
06/10/2020,2,Hartford,10967,10314,653,1229,60,1308,1006,302
06/10/2020,3,Litchfield,1435,1374,61,792,3,135,114,21
06/10/2020,4,Middlesex,1210,1154,56,744,14,165,128,37
06/10/2020,5,New Haven,11930,11558,372,1391,71,1031,887,144
06/10/2020,6,New London,1147,1085,62,430,7,98,73,25
06/10/2020,7,Tolland,883,814,69,585,0,62,48,14
06/10/2020,8,Windham,441,434,7,377,2,14,13,1
07/14/2020,5,New Haven,12643,12252,391,1474,22,1088,938,150
07/14/2020,6,New London,1339,1280,59,502,3,102,76,26
07/14/2020,7,Tolland,937,869,68,621,0,65,51,14
07/14/2020,8,Windham,639,632,7,546,0,14,13,1
08/03/2020,3,Litchfield,1600,1537,63,883,1,138,117,21
08/03/2020,4,Middlesex,1391,1330,61,855,4,191,153,38
08/03/2020,5,New Haven,13100,12692,408,1527,23,1104,954,150
08/03/2020,6,New London,1421,1358,63,533,2,103,77,26
08/03/2020,7,Tolland,1053,992,61,698,0,66,52,14
08/03/2020,8,Windham,716,707,9,612,1,15,14,1
08/12/2020,7,Tolland,1056,995,61,700,0,65,51,14
08/12/2020,8,Windham,751,741,10,642,0,15,14,1
08/13/2020,1,Fairfield,18160,17494,666,1924,17,1410,1098,312
08/13/2020,2,Hartford,12871,12221,650,1442,14,1419,1099,320
08/13/2020,3,Litchfield,1632,1565,67,901,0,139,118,21
08/13/2020,4,Middlesex,1414,1351,63,869,6,192,154,38
08/13/2020,5,New Haven,13316,12896,420,1553,17,1109,957,152
08/13/2020,6,New London,1477,1414,63,554,2,104,78,26
08/13/2020,7,Tolland,1056,995,61,700,0,65,51,14
08/13/2020,8,Windham,755,745,10,645,0,15,14,1
08/16/2020,1,Fairfield,18317,17648,669,1941,11,1411,1099,312
08/16/2020,2,Hartford,12956,12308,648,1451,7,1420,1100,320
08/16/2020,3,Litchfield,1637,1570,67,904,0,139,118,21
08/16/2020,4,Middlesex,1425,1363,62,876,4,192,154,38
08/16/2020,5,New Haven,13378,12956,422,1560,18,1109,957,152
08/16/2020,6,New London,1499,1433,66,562,2,105,79,26
08/16/2020,7,Tolland,1059,997,62,702,0,65,51,14
08/16/2020,8,Windham,762,752,10,651,0,15,14,1
08/17/2020,1,Fairfield,18322,17650,672,1941,14,1411,1098,313
