Report Date,FIPS,Locality,Health District,Health Region,Vaccination Status,Sex,People by vaccination status count
03/17/2021,51043,Clarke,Lord Fairfax,Northwest,Not Reported,Not Reported,0
03/17/2021,51147,Prince Edward,Piedmont,Central,At Least One Dose,Male,1610
03/17/2021,51011,Appomattox,Central Virginia,Southwest,Not Reported,Male,0
03/17/2021,51680,Lynchburg,Central Virginia,Southwest,Not Reported,Female,0
03/17/2021,51530,Buena Vista City,Central Shenandoah,Northwest,At Least One Dose,Male,484
03/17/2021,51031,Campbell,Central Virginia,Southwest,Fully Vaccinated,Not Reported,6
03/17/2021,51760,Richmond City,Richmond,Central,Not Reported,Male,0
03/17/2021,51101,King William,Three Rivers,Eastern,Not Reported,Female,0
03/17/2021,51700,Newport News,Peninsula,Eastern,Not Reported,Female,0
03/17/2021,51153,Prince William,Prince William,Northern,Fully Vaccinated,Female,25959
03/17/2021,51005,Alleghany,Alleghany,Southwest,Fully Vaccinated,Female,972
03/17/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,Fully Vaccinated,Not Reported,3
03/17/2021,51570,Colonial Heights,Chesterfield,Central,Fully Vaccinated,Female,945
03/17/2021,51670,Hopewell,Crater,Central,Not Reported,Male,0
03/17/2021,51041,Chesterfield,Chesterfield,Central,Not Reported,Not Reported,0
03/17/2021,51065,Fluvanna,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/17/2021,51610,Falls Church,Fairfax,Northern,At Least One Dose,Not Reported,0
03/17/2021,51127,New Kent,Chickahominy,Central,Not Reported,Not Reported,0
03/17/2021,51153,Prince William,Prince William,Northern,At Least One Dose,Male,25112
03/17/2021,51091,Highland,Central Shenandoah,Northwest,Not Reported,Female,0
03/17/2021,51750,Radford,New River,Southwest,Fully Vaccinated,Female,1448
03/17/2021,51031,Campbell,Central Virginia,Southwest,Fully Vaccinated,Female,3514
03/17/2021,51049,Cumberland,Piedmont,Central,At Least One Dose,Male,740
03/17/2021,51183,Sussex,Crater,Central,At Least One Dose,Female,824
03/17/2021,51181,Surry,Crater,Central,Not Reported,Female,0
03/17/2021,51640,Galax,Mount Rogers,Southwest,At Least One Dose,Female,784
03/17/2021,51065,Fluvanna,Blue Ridge,Northwest,At Least One Dose,Not Reported,137
03/17/2021,51053,Dinwiddie,Crater,Central,At Least One Dose,Female,2530
03/17/2021,51041,Chesterfield,Chesterfield,Central,At Least One Dose,Not Reported,75
03/17/2021,51760,Richmond City,Richmond,Central,Not Reported,Not Reported,0
03/17/2021,51650,Hampton,Hampton,Eastern,Fully Vaccinated,Male,4896
03/17/2021,51510,Alexandria,Alexandria,Northern,Not Reported,Male,0
03/17/2021,51001,Accomack,Eastern Shore,Eastern,Fully Vaccinated,Male,2102
03/17/2021,51033,Caroline,Rappahannock,Northwest,Not Reported,Female,0
