Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
01/11/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,2,900
03/20/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,2,1170
03/20/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Pfizer,1,1170
01/18/2021,51155,Pulaski,New River,Pharmacies,Moderna,1,700
04/15/2021,51730,Petersburg,Crater,Medical Practices,Moderna,2,100
03/14/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
03/27/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,1170
04/15/2021,51690,Martinsville,West Piedmont,Medical Practices,Moderna,1,100
02/25/2021,51165,Rockingham,Central Shenandoah,Medical Practices,Moderna,2,100
02/20/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Pfizer,1,1170
02/01/2021,51041,Chesterfield,Chesterfield,Hospitals,Moderna,1,1800
02/24/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1400
03/14/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,200
02/01/2021,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,2,300
04/18/2021,51580,Covington,Alleghany,Local Health Departments,Moderna,2,600
03/14/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,2100
04/15/2021,51019,Bedford,Central Virginia,Pharmacies,Moderna,2,100
03/13/2021,51087,Henrico,Henrico,Other Community Health Providers,Pfizer,1,1170
02/28/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,1,200
01/18/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,2700
04/15/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,2,400
02/08/2021,51173,Smyth,Mount Rogers,Medical Practices,Moderna,1,100
12/14/2020,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,1,2925
03/25/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,2,900
03/20/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,2340
04/29/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Moderna,2,200
02/25/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,400
03/08/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,1000
02/20/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,2,6500
02/04/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,200
02/20/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
03/07/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,300
03/04/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,2,200
04/25/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,1,200
01/03/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,500
04/01/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,1,200
04/25/2021,51595,Emporia,Crater,Pharmacies,Moderna,2,300
03/22/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,1,1000
04/01/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,2,1000
03/25/2021,51079,Greene,Blue Ridge,Pharmacies,Moderna,2,100
04/20/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,1,100
04/05/2021,51017,Bath,Central Shenandoah,Hospitals,Moderna,1,100
03/29/2021,51085,Hanover,Chickahominy,Local Health Departments,J&J,1,1500
02/21/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,2100
02/13/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,1,975
04/03/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,2,2340
02/24/2021,51620,Franklin City,Western Tidewater,Pharmacies,Moderna,1,100
03/14/2021,51073,Gloucester,Three Rivers,Medical Practices,Moderna,1,200
03/25/2021,51510,Alexandria,Alexandria,Local Health Departments,J&J,1,2000
03/07/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,300
02/20/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,1000
02/08/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,1,100
02/24/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,100
03/18/2021,51107,Loudoun,Loudoun,Other Community Health Providers,Moderna,2,100
04/11/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,2,900
04/11/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,2,1200
03/07/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,100
01/20/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,100
03/22/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,900
12/30/2020,51700,Newport News,Peninsula,Hospitals,Pfizer,1,1950
04/15/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,2,800
03/15/2021,51171,Shenandoah,Lord Fairfax,Medical Practices,Moderna,1,300
03/22/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,2,800
04/16/2021,51800,Suffolk,Western Tidewater,Other Community Health Providers,Pfizer,1,1170
03/22/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,500
04/11/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,2,200
03/11/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,300
02/20/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,800
03/25/2021,51047,Culpeper,Rappahannock Rapidan,Medical Practices,Moderna,2,200
02/20/2021,51049,Cumberland,Piedmont,Pharmacies,Moderna,1,100
03/04/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,2,300
04/23/2021,51195,Wise,Lenowisco,Local Health Departments,Pfizer,1,1170
04/29/2021,51033,Caroline,Rappahannock,Medical Practices,Moderna,2,100
03/27/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,16380
04/10/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,2,1170
04/17/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Pfizer,1,2340
01/23/2021,51153,Prince William,Prince William,Pharmacies,Pfizer,1,975
04/29/2021,51620,Franklin City,Western Tidewater,Pharmacies,Moderna,2,100
04/11/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,200
03/01/2021,51001,Accomack,Eastern Shore,Local Health Departments,J&J,1,1000
03/28/2021,51590,Danville,Pittsylvania-Danville,Local Health Departments,J&J,1,800
03/25/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,2,100
12/28/2020,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,2100
04/25/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1100
02/21/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,1600
03/11/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,2,100
04/01/2021,51065,Fluvanna,Blue Ridge,Pharmacies,Moderna,2,100
03/14/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,1,800
04/22/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,2,100
03/14/2021,51700,Newport News,Peninsula,Hospitals,Moderna,1,1000
02/26/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
01/30/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,1950
04/11/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,1,700
02/07/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,1200
03/25/2021,51165,Rockingham,Central Shenandoah,Pharmacies,Moderna,2,200
02/07/2021,51025,Brunswick,Southside,Other Community Health Providers,Moderna,2,100
04/11/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,900
04/19/2021,51161,Roanoke County,Alleghany,Medical Practices,Moderna,2,100
02/24/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
04/11/2021,51169,Scott,Lenowisco,Local Health Departments,Moderna,2,200
02/04/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,2,500
04/25/2021,51570,Colonial Heights,Chesterfield,Medical Practices,Moderna,1,100
03/27/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,1,1170
02/24/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
03/25/2021,51760,Richmond City,Richmond,Hospitals,Moderna,2,1100
01/03/2021,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,500
03/08/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,300
02/20/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,1,100
02/24/2021,51067,Franklin County,West Piedmont,Pharmacies,Moderna,1,200
02/27/2021,51710,Norfolk,Norfolk,Medical Practices,Pfizer,1,2340
02/01/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,800
01/12/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,5850
04/18/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,100
12/21/2020,51595,Emporia,Crater,Other Community Health Providers,Moderna,1,500
04/23/2021,51085,Hanover,Chickahominy,Local Health Departments,Pfizer,1,1170
02/23/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,1,200
04/25/2021,51015,Augusta,Central Shenandoah,Hospitals,Moderna,1,700
04/29/2021,51135,Nottoway,Piedmont,Hospitals,J&J,1,100
04/10/2021,51153,Prince William,Prince William,Pharmacies,Pfizer,2,2340
03/21/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,1,500
03/22/2021,51083,Halifax,Southside,Pharmacies,Moderna,1,300
04/04/2021,51087,Henrico,Henrico,Medical Practices,J&J,1,2100
03/14/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,1,100
02/20/2021,51760,Richmond City,Richmond,Hospitals,Moderna,2,3100
01/02/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,13650
02/07/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,1,100
02/20/2021,51135,Nottoway,Piedmont,Other Community Health Providers,Moderna,2,300
02/14/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,1400
03/18/2021,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,2,500
02/25/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,2,1200
03/27/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,1,1170
02/07/2021,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,2,3700
03/18/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,600
04/29/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,100
02/04/2021,51017,Bath,Central Shenandoah,Hospitals,Moderna,2,100
03/07/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,1,300
04/01/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
01/18/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
03/25/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
03/28/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,1,1500
02/20/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,2,3510
02/24/2021,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,100
02/20/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,2,500
03/14/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,300
03/08/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,500
03/11/2021,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,2,100
04/01/2021,51093,Isle of Wight,Western Tidewater,Pharmacies,Moderna,1,100
02/20/2021,51087,Henrico,Henrico,Pharmacies,Moderna,2,2000
01/23/2021,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,1,975
04/23/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,2,1170
04/08/2021,51001,Accomack,Eastern Shore,Hospitals,Moderna,1,300
04/03/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,2,2340
01/10/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,1000
04/02/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,2,1170
03/25/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,2,100
04/25/2021,51095,James City,Peninsula,Medical Practices,Moderna,1,100
02/22/2021,51111,Lunenburg,Piedmont,Pharmacies,Moderna,2,100
03/22/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,1,200
03/28/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,2000
02/28/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,1,100
02/01/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
04/25/2021,51085,Hanover,Chickahominy,Hospitals,Moderna,1,200
01/20/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,2,1400
03/14/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,1,100
12/30/2020,51678,Lexington,Central Shenandoah,Hospitals,Pfizer,2,4875
02/07/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,100
04/25/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,1400
04/05/2021,51135,Nottoway,Piedmont,Other Community Health Providers,Moderna,2,100
04/22/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,2,200
04/01/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,300
01/28/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,2,600
04/24/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Pfizer,2,5850
04/23/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Pfizer,2,3510
04/01/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,1000
04/03/2021,51510,Alexandria,Alexandria,Medical Practices,Pfizer,1,18720
01/10/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,400
04/15/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,2,700
04/05/2021,51085,Hanover,Chickahominy,Pharmacies,Moderna,1,300
04/29/2021,51840,Winchester,Lord Fairfax,Medical Practices,Moderna,2,300
01/09/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,1,9750
03/14/2021,51590,Danville,Pittsylvania-Danville,Hospitals,Moderna,1,300
04/01/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,2,200
01/28/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,2,700
02/22/2021,51540,Charlottesville,Blue Ridge,Pharmacies,Moderna,1,100
02/04/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,1500
04/15/2021,51015,Augusta,Central Shenandoah,Hospitals,Moderna,2,800
02/20/2021,51650,Hampton,Hampton,Hospitals,Pfizer,1,1170
01/30/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,2,975
03/12/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,1,1170
02/07/2021,51015,Augusta,Central Shenandoah,Other Community Health Providers,Moderna,2,200
02/28/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,100
03/27/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Pfizer,1,3510
04/22/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,2,200
03/04/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,400
03/08/2021,51195,Wise,Lenowisco,Pharmacies,Moderna,1,500
03/28/2021,51590,Danville,Pittsylvania-Danville,Pharmacies,Moderna,1,600
03/08/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,300
04/01/2021,51005,Alleghany,Alleghany,Pharmacies,Moderna,1,100
04/25/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,1,200
03/06/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,1,1170
02/20/2021,51159,Richmond County,Three Rivers,Other Community Health Providers,Moderna,2,200
03/25/2021,51520,Bristol,Mount Rogers,Pharmacies,Moderna,2,100
04/01/2021,51595,Emporia,Crater,Medical Practices,Moderna,2,100
04/29/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,J&J,1,100
04/01/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,100
03/12/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,2340
03/08/2021,51057,Essex,Three Rivers,Pharmacies,Moderna,1,100
02/01/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,1,1900
04/23/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,1,1170
03/03/2021,51630,Fredericksburg,Rappahannock,Hospitals,J&J,1,2500
03/02/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,J&J,1,2000
03/08/2021,51683,Manassas City,Prince William,Pharmacies,Moderna,1,100
01/18/2021,51023,Botetourt,Alleghany,Pharmacies,Moderna,1,100
03/22/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,500
01/12/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,3900
02/20/2021,51067,Franklin County,West Piedmont,Pharmacies,Moderna,1,200
02/20/2021,51155,Pulaski,New River,Pharmacies,Moderna,2,700
02/28/2021,51065,Fluvanna,Blue Ridge,Other Community Health Providers,Moderna,1,400
01/30/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,1,975
04/16/2021,51087,Henrico,Henrico,Hospitals,Pfizer,2,1170
04/15/2021,51147,Prince Edward,Piedmont,Pharmacies,Moderna,2,100
12/22/2020,51650,Hampton,Hampton,Hospitals,Moderna,1,1600
03/07/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,200
